drama_id,drama_name,area,actors,description
D00001,Descendants Of The Sun,Korea,"{""actors"": ""Song Joong-ki, Song Hye-kyo, Jin Goo, Kim Ji-won""}","{""description"": ""Descendants of the Sun is a 2016 South Korean television series starring Song Joong-ki, Song Hye-kyo, Jin Goo, and Kim Ji-won. It aired on KBS2 from February 24 to April 14, 2016, on Wednesdays and Thursdays at 22:00 for 16 episodes. KBS then aired three additional special episodes from April 20 to April 22, 2016 containing highlights and the best scenes from the series, the drama's production process, behind-the-scenes footage, commentaries from cast members and the final epilogue.""}"
D00002,Bromance,Taiwan,"{""actors"": ""Baron Chen, Megan Lai, Bii, Sean Lee, Katie Chen""}","{""description"": ""Bromance is a 2015¡V16 Taiwanese romantic comedy television series starring Baron Chen, Megan Lai, Bii, Sean Lee and Katie Chen. Filming began on September 19, 2015. The show was first broadcast on TTV on October 18, 2015. It aired in the Sunday night 10:00¡V11:30 pm time slot, which was previously occupied by When I See You Again. For her star performance, Megan Lai won Best Actress at the 2015 Sanlih Drama Awards.""}"
D00003,From 5 to 9,Japan,"{""actors"": ""Satomi Ishihara, Tomohisa Yamashit""}","{""description"": ""From Five to Nine is a 2015 Fuji TV Japanese television drama series, starring Satomi Ishihara and Tomohisa Yamashita in the lead roles. The drama is based on the manga series by Miki Aihara. It aired from 12 October 2015 to 14 December 2015 on Mondays at 21:00 with a total of 10 episodes. The first episode received a viewership rating of 12.6% in the Kant_ region.""}"
D00004,The Flame's Daughter,China,"{""actors"": ""Vic Chou, Ruilin Liu, Beibi Gong""}","{""description"": ""Based on the same novel by Ming Xiaoxi, the story focuses on a lively and passionate heir to a big estate, Ru Ge, and her entangled love with three men in her life. One enters a life of immortality just for the chance of meeting her again, yet he's cursed with an unrequited love forever (Xue). Another is a gentle, loving, crippled man who eventually loses most of his senses (Yu). Lastly is an arrogant man who was her first love and the one who broke her heart (Feng).""}"
D00005,House of Cards,US,"{""actors"": ""Kevin Spacey, Robin Wright""}","{""description"": ""House of Cards is an American political thriller web television series created by Beau Willimon. It is an adaptation of the 1990 BBC miniseries of the same name and based on the novel of the same name by Michael Dobbs. The first 13-episode season was released on February 1, 2013 on the streaming service Netflix. House of Cards is set in Washington, D.C. and is the story of Congressman Frank Underwood (Kevin Spacey), a Democrat from South Carolina's 5th congressional district and House Majority Whip. He is passed over for appointment as Secretary of State, so he initiates an elaborate plan to attain power, aided by his wife Claire Underwood (Robin Wright). The series deals with themes of ruthless pragmatism, manipulation, and power.""}"
D00006,She was Pretty,Korea,"{""actors"": "" Jeong-eum Hwang,  Seo-Joon Park,  Jun-hee Ko""}","{""description"": ""When Ji Sung-Joon was young, he was ugly. As he grew up, he began to have an attractive appearance. When Kim Hye-Jin was young, she was pretty. As she grew up, she became ugly. Ji Sung-Joon tries to find his first love.""}"
D00007,I Should Not Love You,Taiwan,"{""actors"": ""Ariel Lin,  Bo-lin Chen,  Mei-Hsiu Lin""}","{""description"": ""When Chen You Qing turns 30 she starts feeling anxious about finding someone to spend her life with, so she ends up making a bet with her best friend, Li Da Ren, to see which of them can marry first before they are 35.""}"
